event_timestamp,sum,trend,trend_feature,year,month,day,weekday,is_weekend
2024-04-13 00:00:00-06:00,18,0,3.841897233201564,2024,4,13,5,1
2024-04-14 00:00:00-06:00,58,1,10.930547713156393,2024,4,14,6,1
2024-04-15 00:00:00-06:00,51,2,18.019198193111222,2024,4,15,0,0
2024-04-16 00:00:00-06:00,92,3,25.107848673066048,2024,4,16,1,0
2024-04-17 00:00:00-06:00,59,4,32.19649915302088,2024,4,17,2,0
2024-04-18 00:00:00-06:00,44,5,39.2851496329757,2024,4,18,3,0
2024-04-19 00:00:00-06:00,69,6,46.37380011293053,2024,4,19,4,0
2024-04-20 00:00:00-06:00,0,7,53.46245059288536,2024,4,20,5,1
2024-04-21 00:00:00-06:00,2,8,60.55110107284019,2024,4,21,6,1
2024-04-22 00:00:00-06:00,27,9,67.63975155279502,2024,4,22,0,0
2024-04-23 00:00:00-06:00,96,10,74.72840203274984,2024,4,23,1,0
2024-04-24 00:00:00-06:00,0,11,81.81705251270468,2024,4,24,2,0
2024-04-25 00:00:00-06:00,0,12,88.9057029926595,2024,4,25,3,0
2024-04-26 00:00:00-06:00,12,13,95.99435347261434,2024,4,26,4,0
2024-04-27 00:00:00-06:00,1,14,103.08300395256916,2024,4,27,5,1
2024-04-28 00:00:00-06:00,0,15,110.171654432524,2024,4,28,6,1
2024-04-29 00:00:00-06:00,191,16,117.26030491247882,2024,4,29,0,0
2024-04-30 00:00:00-06:00,288,17,124.34895539243364,2024,4,30,1,0
2024-05-01 00:00:00-06:00,241,18,131.43760587238847,2024,5,1,2,0
2024-05-02 00:00:00-06:00,123,19,138.5262563523433,2024,5,2,3,0
2024-05-03 00:00:00-06:00,314,20,145.61490683229812,2024,5,3,4,0
2024-05-04 00:00:00-06:00,36,21,152.70355731225297,2024,5,4,5,1
